# Results for 200 trials
# n   time (msec)
# ---------------
5  1
10  3
15  7
20  16
25  1
30  1
35  1
40  1
45  2
50  2
55  2
60  3
65  4
70  4
75  4
80  5
85  5
90  7
95  7
100  8
105  9
110  9
115  10
120  10
125  11
130  12
135  12
140  13
145  14
150  15
155  16
160  17
165  19
170  19
175  21
